date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,RSI14,BB_upper,BB_lower,KD落入20以下,出現黃金交叉,趨勢向上非鈍化
2022-08-05,262.5,5516430,774,22,-170,626,,81.38,80.56,67.14,270.11,229.94,False,False,True
2022-08-08,264.5,3207239,558,42,74,674,,85.73,82.29,68.6,270.37,233.18,False,False,True
2022-08-09,265.0,6644213,-1193,191,90,-912,,84.24,82.94,68.98,270.2,236.75,False,False,True
2022-08-10,272.0,10408955,813,567,27,1407,,89.49,85.12,73.67,272.41,237.79,False,False,True
2022-08-11,272.5,8694098,-86,43,-179,-222,,93.0,87.75,73.98,274.09,239.41,False,False,True
2022-08-12,267.0,7833269,-2682,-536,174,-3044,,86.39,87.29,65.1,274.84,240.86,False,False,True
2022-08-15,274.0,7097852,2524,117,-240,2402,,90.02,88.2,70.03,276.62,241.98,False,True,True
2022-08-16,272.5,3813224,506,79,-130,455,,89.18,88.53,67.82,277.71,243.54,False,False,True
2022-08-17,272.5,5804784,-265,-99,156,-208,,86.12,87.73,67.82,278.75,244.85,False,False,True
2022-08-18,272.5,3244528,1116,-83,-59,974,,84.08,86.51,67.82,279.56,246.29,False,False,True
2022-08-19,272.5,2935977,734,-104,24,654,,82.49,85.17,67.82,279.74,248.56,False,False,True
2022-08-22,269.5,5441753,353,-271,169,250,,69.28,79.87,62.51,279.45,250.75,False,False,True
2022-08-23,266.0,6883085,388,22,-444,-34,,51.98,70.58,56.91,278.14,253.76,False,False,True
2022-08-24,267.0,4295091,888,-53,-30,805,,43.35,61.5,58.06,277.41,255.79,False,False,True
2022-08-25,268.0,3155740,571,-320,487,737,,40.5,54.5,59.24,277.51,256.29,False,False,True
2022-08-26,268.0,5633190,1130,-264,-174,691,,38.59,49.2,59.24,277.15,257.65,False,False,True
2022-08-29,262.5,6330407,-79,17,-312,-374,,29.18,42.52,50.24,276.72,258.48,False,False,True
2022-08-30,264.0,5617081,697,-190,-32,475,,27.14,37.4,52.37,276.13,259.62,False,False,True
2022-08-31,263.0,4871258,-1047,-192,43,-1195,,26.14,33.64,50.81,276.19,259.46,False,False,True
2022-09-01,258.5,7501336,-961,-359,-427,-1747,,24.27,30.52,44.41,276.56,258.84,False,False,True
2022-09-02,255.0,5348874,-175,-65,137,-103,,18.14,26.39,40.17,277.63,257.02,False,False,True
2022-09-05,255.5,3225244,222,6,-5,223,,15.03,22.61,41.04,278.41,255.34,True,False,True
2022-09-06,257.5,4194272,218,371,-22,567,,17.09,20.77,44.5,278.76,254.24,True,False,True
2022-09-07,257.0,4342047,0,270,-241,29,,19.01,20.18,43.81,278.42,253.08,True,False,True
2022-09-08,268.0,7861366,1195,542,41,1778,,43.93,28.1,58.94,277.84,253.21,True,True,True
2022-09-12,270.0,5180786,645,98,11,754,,57.62,37.94,60.99,278.14,253.21,False,False,True
2022-09-13,269.0,5441917,-1000,114,120,-766,,65.08,46.98,59.39,277.38,253.47,False,False,True
2022-09-14,268.0,6242749,-584,942,-68,290,,68.39,54.12,57.76,276.75,253.65,False,False,True
2022-09-15,270.5,4779338,-7,416,40,449,,74.76,61.0,60.67,276.42,253.78,False,False,True
2022-09-16,264.5,6930504,-1655,-53,-124,-1833,,69.0,63.67,51.5,275.47,253.93,False,False,True
2022-09-19,269.0,3618870,577,16,-12,581,,72.67,66.67,56.78,274.87,254.18,False,False,True
2022-09-20,271.0,4435642,302,27,421,751,,78.45,70.59,58.92,275.12,254.08,False,False,True
2022-09-21,267.0,3445371,-427,6,74,-346,,73.13,71.44,53.24,275.2,254.1,False,False,True
2022-09-22,270.0,3947671,-133,61,293,221,,73.0,71.96,56.61,275.58,254.02,False,False,True
2022-09-23,266.5,3275336,-232,251,-5,14,,62.3,68.74,51.9,275.43,254.02,False,False,True
2022-09-26,260.5,5898794,-2022,379,-19,-1662,,46.3,61.26,44.99,275.1,253.6,False,False,True
2022-09-27,262.0,5054872,-321,100,303,82,,39.2,53.9,46.9,275.09,253.56,False,False,True
2022-09-28,252.0,7137981,-965,120,-151,-997,,26.13,44.65,37.56,275.82,251.63,False,False,False
2022-09-29,252.5,6470745,-95,78,-61,-78,,21.77,37.02,38.23,276.3,250.1,False,False,False
2022-09-30,253.0,6887222,-1397,151,57,-1189,,25.04,33.03,38.92,276.66,249.19,False,False,False
2022-10-03,252.0,2777656,-163,61,19,-84,,26.57,30.87,38.0,276.93,248.62,False,False,False
2022-10-04,258.5,3870415,-47,152,260,365,,35.95,32.57,46.83,276.82,249.03,False,True,False
2022-10-05,269.5,8613900,2164,-3,5,2166,,55.45,40.19,57.79,277.47,249.58,False,False,True
2022-10-06,278.5,11926595,6178,696,23,6897,,68.91,49.77,64.28,279.69,249.51,False,False,True
2022-10-07,275.0,6700054,-290,249,-138,-179,,73.87,57.8,60.39,280.68,249.22,False,False,True
2022-10-11,264.5,12360422,-4733,184,214,-4335,,67.71,61.1,50.52,280.23,249.12,False,False,True
2022-10-12,272.0,9180429,727,265,156,1148,,70.37,64.19,56.05,280.61,249.04,False,False,True
2022-10-13,268.0,7903746,-3136,874,-97,-2359,,68.53,65.64,52.67,280.61,249.04,False,False,True
2022-10-14,266.0,6284511,-1499,163,136,-1200,,63.64,64.97,51.01,280.17,249.03,False,False,True
2022-10-17,268.5,8521075,1360,123,150,1633,,60.04,63.33,53.0,280.47,249.13,False,False,True
2022-10-18,272.5,7976399,448,637,221,1306,,60.48,62.38,56.08,280.92,249.03,False,False,True
2022-10-19,268.0,4380952,-490,-51,375,-166,,53.96,59.57,51.96,280.58,249.07,False,False,True
2022-10-20,265.5,7629960,-372,291,180,99,,45.82,54.99,49.77,280.48,249.02,False,False,True
2022-10-21,267.0,7053025,1731,161,-41,1850,,46.23,52.07,51.1,280.18,249.02,False,False,True
2022-10-24,268.5,7141308,415,429,413,1258,,48.53,50.89,52.46,280.35,249.05,False,False,True
2022-10-25,259.5,13151518,-4021,63,794,-3164,,41.77,47.85,44.49,280.36,248.94,False,False,False
2022-10-26,256.0,7492981,1065,-90,499,1475,,32.81,42.84,41.83,280.5,248.2,False,False,False
2022-10-27,258.0,5945462,820,-24,114,909,,29.68,38.45,43.89,280.04,249.26,False,False,False
2022-10-28,258.0,9294142,630,-66,-39,525,,27.59,34.83,43.89,279.58,250.27,False,False,False
2022-10-31,257.5,7963942,-1253,478,85,-690,,26.52,32.06,43.45,279.16,251.14,False,False,False
2022-11-01,261.0,7942722,-242,-319,171,-390,,31.85,31.99,47.48,278.35,252.85,False,False,False
2022-11-02,268.5,9398258,2496,-95,-3,2398,,47.9,37.29,54.9,278.46,253.74,False,True,True
2022-11-03,267.0,4362147,-564,81,17,-466,,56.1,43.56,53.28,278.24,253.71,False,False,True
2022-11-04,269.5,4090938,-151,-34,151,-34,,68.03,51.72,55.63,276.44,254.61,False,False,False
2022-11-07,273.0,5509750,1339,-150,-7,1182,,78.69,60.71,58.76,276.0,254.85,False,False,True
2022-11-08,274.0,6527111,1463,-252,281,1493,,82.46,67.96,59.64,277.14,254.66,False,False,True
2022-11-09,274.0,5240371,-459,-30,-3,-492,,84.24,73.38,59.64,277.5,254.5,False,False,False
2022-11-10,271.0,3721654,134,-46,-66,22,,80.55,75.77,55.53,277.83,254.47,False,False,False
2022-11-11,283.5,13423092,5052,-53,234,5233,,85.25,78.93,66.03,281.05,253.0,False,False,True
2022-11-14,285.5,7002961,2956,-16,-453,2486,,87.44,81.77,67.35,284.16,251.59,False,False,True
2022-11-15,293.0,10781385,4438,33,-578,3894,,91.63,85.06,71.8,288.62,249.18,False,False,True
2022-11-16,288.5,9478161,529,226,-652,103,,88.1,86.07,65.99,291.5,248.35,False,False,True
2022-11-17,292.0,4341817,1525,-11,75,1589,,89.73,87.29,68.15,294.84,247.66,False,False,True
2022-11-18,293.0,4257975,973,182,-284,871,,89.38,87.98,68.76,297.95,247.15,False,False,True
2022-11-21,293.5,5565437,-281,584,-25,278,,88.68,88.22,69.08,300.77,246.83,False,False,True
2022-11-22,293.5,5837613,-1073,113,-99,-1059,,88.21,88.21,69.08,302.96,248.04,False,False,True
2022-11-23,295.5,4737019,1958,-1,-53,1904,,88.89,88.44,70.48,304.71,250.24,False,True,True
2022-11-24,302.0,7122131,2783,879,223,3885,,92.59,89.82,74.51,307.39,251.96,False,False,True
2022-11-25,302.0,7198271,248,71,-143,176,,91.73,90.46,74.51,309.33,254.42,False,False,True
2022-11-28,293.0,7980368,956,-1265,-208,-517,,72.92,84.61,61.1,308.98,258.32,False,False,True
2022-11-29,298.0,6486048,1612,-1117,-71,424,,70.18,79.8,64.88,309.21,261.79,False,False,True
2022-11-30,302.0,8239691,951,509,-475,986,,75.95,78.52,67.6,310.56,263.79,False,False,True
2022-12-01,305.0,7400572,1169,120,-115,1174,,81.27,79.43,69.5,311.72,266.43,False,True,True
2022-12-02,305.0,4401540,1422,-634,-171,618,,84.81,81.23,69.5,312.59,269.11,False,False,True
2022-12-05,302.5,2994016,173,-312,-144,-283,,80.68,81.04,65.77,312.93,271.72,False,False,True
2022-12-06,301.0,5724940,975,-3,-69,903,,74.47,78.85,63.56,312.71,274.64,False,False,True
2022-12-07,294.5,6790887,-1819,-107,231,-1696,,56.32,71.34,54.96,311.33,278.07,False,False,True
2022-12-08,294.5,5027976,-711,-16,123,-604,,48.02,63.57,54.96,308.22,283.53,False,False,True
2022-12-09,294.5,4371980,-531,-85,-127,-743,,42.49,56.54,54.96,307.35,285.5,False,False,True
2022-12-12,293.5,3085211,106,34,8,148,,36.9,49.99,53.56,306.59,287.06,False,False,True
2022-12-13,291.5,7234292,814,243,-356,701,,30.9,43.63,50.79,306.66,286.84,False,False,True
2022-12-14,295.5,7215772,1669,133,-1496,306,,34.12,40.46,55.73,306.25,287.95,False,False,True
2022-12-15,295.5,4298674,534,159,-737,-44,,37.03,39.32,55.73,306.14,288.41,False,False,True
2022-12-16,291.0,6725023,59,5,-324,-260,,30.75,36.46,49.28,306.28,288.07,False,False,True
2022-12-19,290.0,2795004,132,-14,-107,12,,27.74,33.55,47.95,306.53,287.47,False,False,True
2022-12-20,283.0,4518295,536,35,-490,81,,20.58,29.23,39.85,307.8,285.15,False,False,True
2022-12-21,283.5,4168115,-299,-134,-384,-817,,17.76,25.41,40.62,308.61,283.14,False,False,True
2022-12-22,286.5,3507026,-614,174,-146,-586,,21.94,24.25,45.17,308.14,282.06,True,False,True
2022-12-23,281.0,5149151,-707,252,-409,-863,,20.32,22.94,39.24,308.1,280.0,False,False,True
2022-12-26,282.0,1926261,797,20,-318,499,,21.65,22.51,40.76,308.55,278.45,False,False,True
2022-12-27,284.0,1541522,-210,373,3,166,,26.15,23.72,43.79,308.26,277.34,False,True,True
2022-12-28,282.5,3634319,-320,73,-551,-798,,27.85,25.1,42.05,307.3,276.35,False,False,True
2022-12-29,281.0,3227331,-764,-309,86,-988,,26.61,25.6,40.33,305.51,275.74,False,False,False
2022-12-30,286.5,4059391,434,-190,42,286,,38.43,29.88,48.65,303.05,276.35,False,False,True
2023-01-03,285.5,4620740,209,-37,192,364,,49.86,36.54,47.35,300.86,276.84,False,False,True
2023-01-04,284.0,5434591,1197,-166,-14,1017,,52.94,42.01,45.41,298.73,277.27,False,False,True
2023-01-05,278.5,6636158,-1155,-402,44,-1513,,39.64,41.22,39.06,298.27,276.13,False,False,False
2023-01-06,272.0,8812006,-2792,-261,99,-2954,,27.41,36.61,33.16,298.51,273.64,False,False,False
2023-01-09,283.0,7378299,2549,-753,58,1854,,40.82,38.02,47.59,297.35,273.65,False,True,True
2023-01-10,283.5,4224685,15,85,-124,-24,,50.74,42.26,48.13,296.25,273.75,False,False,True
2023-01-11,286.0,4971103,284,-60,15,239,,62.26,48.93,50.9,295.57,273.88,False,False,True
2023-01-12,277.0,7302906,-3125,-725,94,-3756,,52.29,50.05,42.18,293.91,273.69,False,False,False
2023-01-13,277.5,6096497,-197,-224,4,-417,,46.98,49.03,42.77,291.75,274.05,False,False,False
2023-01-16,281.5,5960964,708,623,104,1435,,51.52,49.86,47.37,290.42,274.43,False,True,False
2023-01-17,286.0,5492115,737,-309,91,520,,64.56,54.76,52.04,289.6,274.85,False,False,True
2023-01-30,288.5,17765626,27,-39,203,191,,67.15,58.89,54.45,290.39,274.61,False,False,True
2023-01-31,289.0,9685944,1,384,217,603,,68.1,61.96,54.94,291.18,274.37,False,False,True
2023-02-01,294.5,6990307,2123,-324,164,1963,,77.86,67.26,60.03,292.97,273.38,False,False,True
2023-02-02,298.0,8873439,1114,-343,-54,718,,83.79,72.77,62.9,295.78,272.27,False,False,True
2023-02-03,301.5,9055043,3068,-582,-197,2289,,88.55,78.03,65.56,299.06,270.94,False,False,True
2023-02-06,297.0,6355101,1313,-33,-7,1273,,85.83,80.63,59.63,300.68,270.62,False,False,True
2023-02-07,296.0,4489039,958,35,-77,916,,81.46,80.91,58.37,301.96,270.69,False,False,True
2023-02-08,296.0,7198917,1253,-299,42,996,,77.89,79.9,58.37,303.07,271.08,False,False,True
2023-02-09,292.0,8764465,673,-1490,-44,-861,,66.74,75.51,53.15,303.49,271.21,False,False,True
2023-02-10,294.0,5042475,1598,-39,-98,1461,,60.62,70.55,55.3,304.16,271.39,False,False,True
2023-02-13,294.0,5088772,662,61,-114,609,,53.23,64.78,55.3,304.78,271.77,False,False,True
2023-02-14,294.0,3660189,1166,-54,34,1146,,46.6,58.72,55.3,305.07,273.03,False,False,True
2023-02-15,293.0,5009033,-147,-24,178,7,,39.4,52.28,53.76,304.03,276.17,False,False,True
2023-02-16,299.0,6390924,1462,-267,360,1555,,53.54,52.7,60.82,304.95,276.85,False,True,True
2023-02-17,294.5,4572064,-408,-275,-4,-687,,49.33,51.58,54.14,305.14,277.76,False,False,True
2023-02-20,295.0,2922481,753,-168,1,586,,48.04,50.4,54.74,305.43,278.37,False,False,True
2023-02-21,297.5,2865698,230,349,17,597,,54.75,51.85,57.69,304.69,281.16,False,True,True
2023-02-22,290.0,6668539,-1266,5,-222,-1484,,36.5,46.73,47.65,302.96,284.14,False,False,False
2023-02-23,290.0,7995089,-228,-316,-141,-685,,27.11,40.19,47.65,301.71,286.24,False,False,False
2023-02-24,286.5,8684516,-820,2,-14,-832,,19.19,33.19,43.54,301.63,286.37,False,False,False
2023-03-01,289.5,7990833,-451,114,-191,-528,,25.95,30.78,47.7,301.54,286.56,True,False,False
2023-03-02,289.5,4603040,27,-12,-60,-45,,30.46,30.67,47.7,301.5,286.65,False,False,False
2023-03-03,288.0,3963043,-1230,382,0,-849,,32.43,31.26,45.75,301.65,285.85,False,True,False
2023-03-06,290.0,7525112,-343,243,415,315,,37.78,33.43,48.76,301.15,285.55,False,False,False
2023-03-07,301.5,19429277,3907,448,545,4901,,51.19,39.35,61.87,301.15,285.55,False,False,True
